time,pitch,pid_output,left_motor,right_motor
0.064,0.022,0.083,13990.047,13989.530
0.128,0.022,-0.041,0.083,0.083
0.192,0.021,0.133,-0.041,-0.041
0.256,0.023,-0.108,0.133,0.133
0.320,0.020,0.327,-0.108,-0.108
0.384,0.023,-0.180,0.327,0.327
0.448,0.017,0.901,-0.180,-0.180
0.512,0.024,-0.412,0.901,0.901
0.576,0.015,1.336,-0.412,-0.412
0.640,0.030,-1.339,1.336,1.336
0.704,0.007,2.735,-1.339,-1.339
0.768,0.039,-3.007,2.735,2.735
0.832,-0.007,5.125,-3.007,-3.007
0.896,0.055,-5.847,5.125,5.125
0.960,-0.026,8.577,-5.847,-5.847
1.024,0.071,-8.815,8.577,8.577
1.088,-0.040,11.034,-8.815,-8.815
1.152,0.080,-10.497,11.034,11.034
1.216,-0.040,11.180,-10.497,-10.497
1.280,0.072,-9.139,11.180,11.180
1.344,-0.037,10.492,-9.139,-9.139
1.408,0.071,-8.906,10.492,10.492
1.472,-0.039,10.909,-8.906,-8.906
1.536,0.071,-8.952,10.909,10.909
1.600,-0.036,10.401,-8.952,-8.952
1.664,0.065,-7.897,10.401,10.401
1.728,-0.040,10.991,-7.897,-7.897
1.792,0.072,-9.089,10.991,10.991
1.856,-0.043,11.640,-9.089,-9.089
1.920,0.070,-8.792,11.640,11.640
1.984,-0.040,11.143,-8.792,-8.792
2.048,0.059,-6.791,11.143,11.143
2.112,-0.045,11.755,-6.791,-6.791
2.176,0.067,-8.330,11.755,11.755
2.240,-0.058,14.134,-8.330,-8.330
2.304,0.067,-8.362,14.134,14.134
2.368,-0.056,13.807,-8.362,-8.362
2.432,0.059,-7.020,13.807,13.807
2.496,-0.062,14.774,-7.020,-7.020
2.560,0.054,-6.262,14.774,14.774
2.624,-0.062,14.658,-6.262,-6.262
2.688,0.042,-4.146,14.658,14.658
2.752,-0.068,15.589,-4.146,-4.146
2.816,0.036,-3.194,15.589,15.589
2.880,-0.085,18.334,-3.194,-3.194
2.944,0.028,-2.078,18.334,18.334
3.008,-0.101,21.084,-2.176,-2.078
3.072,0.012,0.431,21.084,21.084
3.136,-0.099,20.500,0.431,0.431
3.200,-0.021,6.067,20.500,20.500
3.264,-0.112,22.375,6.067,6.067
3.328,-0.036,8.542,22.375,22.375
3.392,-0.129,25.195,8.542,8.542
3.456,-0.061,12.694,25.197,25.195
3.520,-0.161,30.242,12.694,12.694
3.584,-0.081,15.650,30.242,30.242
3.648,-0.190,35.119,15.662,15.650
3.712,-0.161,28.995,34.900,35.106
3.776,-0.210,37.671,28.995,28.995
3.840,-0.206,36.444,37.671,37.671
3.904,-0.310,54.227,33.144,36.444
3.968,-0.507,86.713,54.227,53.408
4.032,-0.932,100.000,84.529,84.592
4.096,-1.049,100.000,99.999,99.999
4.160,-0.927,100.000,100.000,100.000
